task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-18T07:54:17,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,65.4984717000043,0.002228522270126948,3.4024281440786994e-05,42.5,257.890662896709,70.0,0.0007731935679165165,0.004691753753401251,0.0012734892624997076,0.006738436583817475,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-18T07:54:23,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.827535199990962,0.00020335287701413836,3.4892140373670326e-05,42.5,267.32128692690486,70.0,6.8802502708402e-05,0.0004327634017649018,0.00011331709861131262,0.0006148830030846169,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-18T07:54:58,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,34.96800930000609,0.0011971658434856403,3.4235766553986336e-05,42.5,260.1718205538404,70.0,0.0004128186547221655,0.002527149521718286,0.0006799310836108311,0.0036198992600512837,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-18T07:55:03,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.475845100008883,0.00019257553124129136,3.516820192664822e-05,42.5,270.39322977263924,70.0,6.463338020835691e-05,0.00041121144008027244,0.00010645046222182127,0.0005822952825104508,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-18T07:55:50,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,46.53551479999442,0.0015274919197936685,3.28242196470386e-05,42.5,244.8149910482258,70.0,0.0005493626193057934,0.0031645241982838357,0.0009048273733333594,0.004618714190922987,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-18T07:55:55,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.6182710000139195,0.00019288097702660142,3.4331303450044816e-05,42.5,261.3263210436061,70.0,6.630605625018195e-05,0.00040770754838792556,0.00010920526166672889,0.0005832188663048334,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-18T07:57:02,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,66.46468559998902,0.0021549694427688403,3.2421545007527796e-05,42.5,240.42117786768827,70.0,0.0007846837286110612,0.004438934106699044,0.0012924152888888788,0.006516033124198985,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-18T07:57:08,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.830036500003189,0.00019876066522568799,3.407651616844363e-05,42.5,258.2737885880619,70.0,6.888982486125302e-05,0.00041864672380675927,0.0001134608727777148,0.000600997421445728,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-18T07:58:10,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,62.41262039999128,0.0020579646915595898,3.2972676320180715e-05,42.5,246.41010573435423,70.0,0.0007368575990972914,0.004272217584436966,0.001213642332777494,0.0062227175163117494,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-18T07:58:16,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.727902899991022,0.0002088795743797351,3.6467338834507755e-05,42.5,284.47315953880434,70.0,6.761887062493779e-05,0.00045260730652962877,0.00011136803416666227,0.0006315942113212306,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-18T07:58:48,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,31.662067299999762,0.0010417865786093126,3.2906377594600694e-05,42.5,245.74664607512779,70.0,0.0003737044006943604,0.002160862839801325,0.0006155079855558543,0.0031500752260515408,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-18T07:58:53,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.521845300012501,0.00017352852162487095,3.1426458928652866e-05,42.5,229.34004749734734,70.0,6.523524395848218e-05,0.0003520258371763063,0.00010744129861130994,0.0005247023797460976,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-18T07:59:34,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,41.346381499985,0.001389972492169364,3.361534754903717e-05,42.5,253.4137873898415,70.0,0.00048815682159719393,0.002910723439687679,0.000804013116666627,0.004202893377951503,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-18T07:59:40,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.608487599994987,0.0001910364199925966,3.4059988564485067e-05,42.5,258.25962498488974,70.0,6.621518888880185e-05,0.0004023708774525403,0.0001090553683329035,0.0005776414346742448,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-18T08:00:18,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,37.86282539999229,0.0012680591995203362,3.3488621541847004e-05,42.5,252.03939872074628,70.0,0.0004470195451389174,0.0026509790652253784,0.0007362626016663041,0.0038342612120306,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-18T08:00:24,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.60049149999395,0.00018984076560274975,3.388785357808926e-05,42.5,256.38616631738427,70.0,6.613492645833e-05,0.00039896781917470037,0.00010892336000001279,0.0005740261056330423,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-18T08:01:27,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,63.39254339999752,0.002338542334652017,3.6890112201639114e-05,42.5,289.0662505344529,70.0,0.0007483753930555195,0.005090122960984544,0.0012326085547221324,0.007071106908762198,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-18T08:01:33,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,6.016362599999411,0.0002000845496887664,3.323064360488757e-05,42.5,249.0643678328062,70.0,7.111547666659602e-05,0.00041676227785458764,0.00011712272833360078,0.0006050004828547853,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-18T08:02:46,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,72.34956090000924,0.002674157332663213,3.6961683051516065e-05,42.5,289.82811727154825,70.0,0.0008541574054859264,0.0058249179932632345,0.001406838681111064,0.008085914079860222,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-18T08:02:58,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,11.844274100003531,0.00038736422340967733,3.270377425685062e-05,42.5,243.49997865338167,70.0,0.0001398305249999494,0.0008011478631413382,0.00023030416499968814,0.0011712825531409732,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-18T08:03:40,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,42.80719669998507,0.0013806792900255861,3.2252270396398044e-05,42.5,238.57835543419696,70.0,0.0005053823761807909,0.0028370208807251274,0.0008323900413892658,0.004174793298295183,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-18T08:03:46,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.571608099999139,0.00018753348676247075,3.3659808697882115e-05,42.5,253.5938770084998,70.0,6.5829383333201e-05,0.00039279948090698014,0.00010842066666672326,0.0005670495309069018,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-18T08:04:27,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,40.48115870001493,0.001344400892076221,3.321042762853184e-05,42.5,249.0082148756214,70.0,0.0004779055547919084,0.0028000583511555988,0.0007871335247221899,0.004065097430669698,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_proxy.sol,2026-04-18T08:04:32,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.613640299998224,0.000183850471476725,3.275000498365689e-05,42.5,244.13717464710103,70.0,6.624785368043729e-05,0.0003805555822227191,0.0001091096727777359,0.0005559131086808888,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_rubixi.sol,2026-04-18T08:05:35,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,63.02017950001755,0.002332806722524977,3.701687738983956e-05,42.5,290.45602942623026,70.0,0.0007439647218057677,0.005084450456445566,0.0012253488216669613,0.007053763999918292,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_rubixi.sol,2026-04-18T08:05:41,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.728600700007519,0.00019618933889006124,3.424485552005795e-05,42.5,260.00168571494004,70.0,6.768321562493698e-05,0.0004140658868090341,0.00011147333749993507,0.0005932224399338992,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_simple_suicide.sol,2026-04-18T08:06:18,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,36.65568890000577,0.0012017133471292525,3.278130461714856e-05,42.5,244.34712818334737,70.0,0.0004327630972222121,0.0024881056015937375,0.0007127809577774317,0.0036336496565933935,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_simple_suicide.sol,2026-04-18T08:06:23,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.551881100022001,0.00019008096607250197,3.4237642120745896e-05,42.5,260.18415738992564,70.0,6.554390374995979e-05,0.00040126170989740473,0.00010794679194441395,0.0005747524055917802,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_unprotected0.sol,2026-04-18T08:07:26,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,62.80613420001464,0.0021308290391714203,3.3926372873373034e-05,42.5,256.7781930808419,70.0,0.0007415256645138171,0.004480181639698877,0.0012213318988891029,0.006443039203101797,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_unprotected0.sol,2026-04-18T08:07:32,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.7574859999876935,0.00020087942174773152,3.488990832682895e-05,42.5,267.04723625668976,70.0,6.801479590251049e-05,0.00042736978634039247,0.00011201937444444907,0.0006074039566873607,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_wallet_02_refund_nosub.sol,2026-04-18T08:08:13,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,41.047823400003836,0.0013871158369501944,3.379273518546535e-05,42.5,255.34961035638247,70.0,0.0004845893586113252,0.002911524551439726,0.0007981417305557327,0.004194255640606784,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_wallet_02_refund_nosub.sol,2026-04-18T08:08:19,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,5.53597360002459,0.00019098014695402218,3.449696408790815e-05,42.5,263.4115449397227,70.0,6.528846930555637e-05,0.0004046539348347977,0.00010752887638874192,0.000577471280529096,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_wallet_03_wrong_constructor.sol,2026-04-18T08:09:02,microsoft__phi-4,316379cc-6d61-4739-b727-3b95acea10d0,43.76462570001604,0.0015352469268568349,3.5081126907462415e-05,42.5,269.41446657350605,70.0,0.000516586836527555,0.0032747387308997844,0.0008508376255553021,0.0046421631929826485,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
