task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-18T12:06:24,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,49.409728900005575,0.0015190624432867073,3.07441712638634e-05,42.5,222.14016953882103,70.0,0.0005833497925693034,0.0030490710503663365,0.0009608049363890637,0.004593225779324703,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-18T12:06:30,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,5.79036929999711,0.00018142052158056678,3.133227131967731e-05,42.5,228.31213645737532,70.0,6.840778986168315e-05,0.00036749140510394795,0.00011266641555622396,0.0005485656105218553,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-18T12:07:04,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,33.79830179997953,0.0010633660400522751,3.146222608063844e-05,42.5,230.01017868668032,70.0,0.0003989706518748589,0.0021592322829393495,0.000657122629721966,0.0032153255645361754,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-18T12:07:10,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,5.726237300026696,0.0001744257026051804,3.046143471390372e-05,42.5,219.09131790561554,70.0,6.759911875002826e-05,0.00034848111211704946,0.00011133497666677506,0.0005274152075338528,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-18T12:08:21,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,71.74605600000359,0.0022523910725732034,3.139398979270881e-05,42.5,229.2217520377991,70.0,0.0008470371384721349,0.00456845726587396,0.001395114853611449,0.006810609257957545,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-18T12:08:31,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,9.967411599995103,0.0003505104115370831,3.5166173447235275e-05,42.5,270.2354099642181,70.0,0.00011768873333284227,0.0007483228208799986,0.00019383523833271799,0.0010598467925455601,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-18T12:09:07,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,35.17399999999907,0.0011257498314454356,3.20052356349913e-05,42.5,235.89254051441728,70.0,0.00041524519694454906,0.002304783788268594,0.0006839279552782605,0.003403956940491403,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-18T12:09:12,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,5.802129699965008,0.00017887026101267873,3.082873471268147e-05,42.5,223.0178119900816,70.0,6.85105076389139e-05,0.00035950834316267333,0.00011283547527887565,0.000540854326080465,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-18T12:09:52,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,39.87928519997513,0.001259317811299173,3.1578328888037106e-05,42.5,231.2379695530667,70.0,0.00047080307756987164,0.0025615909381606627,0.000775435649722123,0.003807829665452657,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-18T12:10:04,microsoft__phi-4,74a164e0-943a-4ac6-8dfb-8ac1090f3aa9,11.766701899992768,0.00036710210475329914,3.119870656336657e-05,42.5,227.2426055682547,70.0,0.00013885754770866102,0.0007424564272975331,0.0002287015208340664,0.0011100154958402636,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
