task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-18T14:15:13,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,43.85604460001923,0.001403297609727272,3.1997358087869116e-05,42.5,235.78130497953637,70.0,0.0005177869597913944,0.0028725786869499004,0.0008528192108330486,0.004243184857574344,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-18T14:15:19,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,5.632263800012879,0.00018442755792861588,3.27452337064773e-05,42.5,243.7180923299609,70.0,6.653405812446893e-05,0.0003815439163474821,0.00010958008444415302,0.0005576580589161037,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-18T14:15:51,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,32.290391299990006,0.0010813876279946377,3.348871983934766e-05,42.5,252.03760248904607,70.0,0.0003812154434023493,0.0022607223641299967,0.0006278800674990636,0.0032698178750314097,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-18T14:15:56,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,5.5249915000167675,0.00018539618890409245,3.3581708848800636e-05,42.5,252.87593058632635,70.0,6.520714083320248e-05,0.00038798503261183725,0.00010739475833397593,0.0005605869317790151,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-18T14:16:33,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,36.95003230002476,0.0012216236687826766,3.3061003700968765e-05,42.5,247.3555271349579,70.0,0.00043625535055503463,0.002539064531249302,0.0007185330949996975,0.0036938529768040344,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-18T14:16:39,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,5.579600500001106,0.0001867219312793782,3.346514002042357e-05,42.5,251.58410499780592,70.0,6.59064216669827e-05,0.0003901425343348919,0.00010854665500018099,0.0005645956110020556,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-18T14:17:47,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,67.8969003999955,0.0022438258364166786,3.304762450462716e-05,42.5,247.25674539124597,70.0,0.000801514797013927,0.004663064563782626,0.0013201309858331418,0.006784710346629693,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-18T14:17:53,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,5.797800200001802,0.00020508446176943206,3.537128751984422e-05,42.5,272.6252095255597,70.0,6.843269486097496e-05,0.00043897729562569765,0.00011270884722228711,0.0006201188377089606,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-18T14:18:30,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,37.68391799996607,0.0012567898968417696,3.335001475957716e-05,42.5,250.52745189553133,70.0,0.00044489214979140466,0.002622535709138063,0.0007327580905554998,0.0038001859494849674,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-18T14:18:36,microsoft__phi-4,a6b062c1-7c5d-4d76-bed8-f40cd923d839,5.609694200044032,0.00019518018038189658,3.4793726742379746e-05,42.5,266.3846438862777,70.0,6.620066687497038e-05,0.0004149386652834153,0.00010903169083370176,0.0005901710229920878,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
