task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-18T05:40:34,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,53.519643400009954,0.0016982643120854021,3.173083848238741e-05,42.5,232.91982409775036,70.0,0.000631814169374977,0.0034626391589975825,0.0010406294675000633,0.005135082795872623,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-18T05:40:40,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.7306087000179105,0.00019131800961920257,3.3386357259183854e-05,42.5,250.68484278144203,70.0,6.769587236121885e-05,0.00039930420833123037,0.00011149280333322365,0.0005784928840256729,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-18T05:41:10,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,29.756026200018823,0.001004194465379367,3.374632739101507e-05,42.5,254.83942803088578,70.0,0.0003513030225696437,0.0021064925185276806,0.0005786115047222767,0.0030364070458196012,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-18T05:41:15,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.500687799998559,0.00018915645478561867,3.439395809692997e-05,42.5,261.9280783475354,70.0,6.492110284739782e-05,0.00040011587564858786,0.00010691996000031299,0.0005719569384962982,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-18T05:42:21,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,65.8705824999779,0.002222494642582508,3.374038585816978e-05,42.5,254.80253679872823,70.0,0.0007775854494442482,0.004661902340629354,0.0012807229108332348,0.006720210700906837,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-18T05:42:33,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,11.81806669998332,0.00040706437904968265,3.444427890162743e-05,42.5,262.4431592405483,70.0,0.0001395180236806483,0.0008615437447891949,0.0002297886208336825,0.0012308503893035255,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-18T05:43:36,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,62.8951980000129,0.0020981862480862687,3.336008408306972e-05,42.5,250.61470365289296,70.0,0.0007425599811111375,0.004378742114102607,0.0012230343124999816,0.006344336407713726,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-18T05:43:42,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.767307400004938,0.00020681426740413317,3.585871064938809e-05,42.5,278.0270678866185,70.0,6.805553687503968e-05,0.0004452078561660855,0.00011208589972229715,0.0006253492927634219,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-18T05:44:19,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,37.02267330000177,0.0012075222699640953,3.2617527541977126e-05,42.5,242.5356568938872,70.0,0.00043707365027793356,0.0024942592176273592,0.0007198813688888755,0.003651214236794171,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-18T05:44:24,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.57816420000745,0.00019056876609239645,3.41631902270074e-05,42.5,259.252879167331,70.0,6.587667874991899e-05,0.0004018533770375754,0.00010849732249973605,0.00057622737828723,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-18T05:45:44,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,79.12616849999176,0.002596471551587931,3.281435828063902e-05,42.5,244.70402810463221,70.0,0.0009341108964580902,0.005378371802694737,0.0015385310091664403,0.007851013708319268,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-18T05:45:50,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.885372299992014,0.00020988977707360815,3.565603791604096e-05,42.5,275.90371409238594,70.0,6.944508854168051e-05,0.00045082841621724157,0.00011437528083366091,0.0006346487855925856,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-18T05:47:00,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,70.0451379000151,0.0023801532820595696,3.3980311908240714e-05,42.5,257.3943416077251,70.0,0.0008269104843053763,0.005008051228660548,0.001361965221944087,0.00719692693491001,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-18T05:47:05,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.813447200023802,0.0002001363349005917,3.4415472468095336e-05,42.5,262.4116978039965,70.0,6.860103736089536e-05,0.00042357089441136253,0.00011298513527759069,0.0006051570670498468,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-18T05:47:40,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,34.60882630001288,0.0011239990029705445,3.247714224686611e-05,42.5,241.0044481411224,70.0,0.0004086040584027513,0.002317069631431856,0.0006729892283329625,0.0033986629181675734,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-18T05:47:46,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.568161000002874,0.00017919403609775036,3.217649757182595e-05,42.5,237.8685095923193,70.0,6.572529611106187e-05,0.00036785946095463373,0.0001082485755553031,0.0005418333326209987,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-18T05:49:26,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,100.63929659998394,0.0037762012715093045,3.7522586717630884e-05,42.5,295.9542718748443,70.0,0.0011880722247915605,0.008273298563079123,0.0019568201527775577,0.011418190940648242,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-18T05:49:33,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,6.006998999975622,0.0002147425533614751,3.575856884714908e-05,42.5,276.96066617397526,70.0,7.085836465303176e-05,0.00046176592496749436,0.00011669795277775841,0.0006493222423982828,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-18T05:50:50,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,77.10556269998779,0.0029002352963692288,3.761366163193354e-05,42.5,296.95276791811654,70.0,0.0009102505511804949,0.006360036199136054,0.0014992247258329983,0.008769511476149551,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-18T05:50:55,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.695888899994316,0.0002010721713937881,3.530160767684271e-05,42.5,271.7812793111226,70.0,6.724144111087439e-05,0.0004300003440009803,0.00011074499333319464,0.0006079867784450493,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-18T05:51:25,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,29.470641499996418,0.000955006520290156,3.240455534260793e-05,42.5,240.25209100318872,70.0,0.00034791126048581283,0.001966740462279404,0.0005730245461108598,0.002887676268876066,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-18T05:51:31,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.530535800004145,0.00018859303450896592,3.4100598221564186e-05,42.5,258.7104786778234,70.0,6.528896277775698e-05,0.0003974350401714233,0.00010752930805586758,0.0005702533110050478,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-18T05:52:07,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,36.128804200008744,0.0011805368932620644,3.267303691900157e-05,42.5,243.1589801743252,70.0,0.0004265572755555499,0.0024405011190662407,0.000702559507222273,0.003569617901844055,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_proxy.sol,2026-04-18T05:52:12,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.666407799988519,0.00018614727589009658,3.283443590737521e-05,42.5,244.78128211709478,70.0,6.695463812508677e-05,0.0003856303085045809,0.00011027306499987975,0.000562858011629544,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_rubixi.sol,2026-04-18T05:53:12,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,59.67706940000062,0.002205106061759325,3.69531761788291e-05,42.5,289.73639748190266,70.0,0.0007044974273609523,0.004802797453346663,0.001160337548610793,0.006667632429318407,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_rubixi.sol,2026-04-18T05:53:17,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,5.316572899988387,0.00019632984547919216,3.692813734798129e-05,42.5,289.6297637819808,70.0,6.274136048596037e-05,0.0004275722865019205,0.0001033336461113421,0.0005936472930992281,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_simple_suicide.sol,2026-04-18T05:53:54,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,36.35079890000634,0.0011877080914437267,3.2673560372599604e-05,42.5,243.1309346309904,70.0,0.0004291822349308059,0.002455236408631656,0.0007068829833333443,0.0035913016268958042,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_simple_suicide.sol,2026-04-18T05:54:03,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,9.438143700012006,0.00031719160000192106,3.3607755197171825e-05,42.5,253.35766122415532,70.0,0.0001114145870136779,0.000664183309123878,0.0001835020016663809,0.0009590998978039333,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_unprotected0.sol,2026-04-18T05:54:35,microsoft__phi-4,f4f0ca42-d137-49a7-a4b6-6051946e9d8b,31.330192200024612,0.0010054503994686818,3.2092132355338356e-05,42.5,236.80088252001607,70.0,0.00036990707409731774,0.0020610444266129235,0.000609253143332978,0.0030402046440432123,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
