task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-18T10:01:39,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,66.64938930000062,0.0024378108865320738,3.65763977594003e-05,42.5,285.64031276845645,70.0,0.0007868558221528777,0.005288421452954495,0.001295990350277619,0.007371267625384991,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-18T10:01:45,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,5.455006800009869,0.0002034812512984605,3.729874283560138e-05,42.5,293.85632724545576,70.0,6.435047305567419e-05,0.00044493813372881164,0.00010598256472254034,0.0006152711715070262,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-18T10:02:18,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,33.450107999989996,0.0012589194151228777,3.763591377388095e-05,42.5,297.154922455374,70.0,0.000394922059374868,0.002761249986775738,0.0006504529791666654,0.003806625025317272,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-18T10:02:23,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,5.138607200002298,0.00019141778389197405,3.725201495759469e-05,42.5,292.848692840273,70.0,6.0685975485972156e-05,0.0004181617234166879,9.994687500010412e-05,0.0005787945739027644,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-18T10:03:26,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,62.02530039998237,0.002336689456432471,3.767272145176527e-05,42.5,297.60925290480736,70.0,0.0007322055006946054,0.005127324101856345,0.0012059747136110677,0.007065504316162019,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-18T10:03:35,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,9.563693899981445,0.00036196062790563345,3.78417572974928e-05,42.5,299.42127077099394,70.0,0.00011292216118052043,0.0007955620253357054,0.0001859849016665571,0.0010944690881827847,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-18T10:04:07,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,32.177230900008,0.0012200417297502427,3.7914938933723255e-05,42.5,300.2114272619926,70.0,0.0003798917372222505,0.0026834813134533064,0.0006256965788887302,0.003689069629564286,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-18T10:04:13,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,5.114866999996593,0.0001896818351072825,3.708378702426674e-05,42.5,291.55445461051977,70.0,6.0328330902626164e-05,0.0004138606088659458,9.935660388881752e-05,0.0005735455436573882,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-18T10:04:48,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,35.42197130000568,0.0013450706153723922,3.797289862568826e-05,42.5,300.8055632423683,70.0,0.00041822055583316895,0.0029600743125008933,0.0006888276208331162,0.004067122489167178,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-18T10:04:53,microsoft__phi-4,ff6f80a0-6de0-48d9-96ab-c44d8b661878,5.108713699999498,0.00019352171845720724,3.7881316777574893e-05,42.5,300.20786663494374,70.0,6.025899805556234e-05,0.0004256539516358515,9.9243341944384e-05,0.0005851562916357987,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
