task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-16T04:16:34,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,73.94680699999299,0.002285336965730671,3.090549857969908e-05,42.5,223.93534064767272,70.0,0.0008729331877083395,0.004599547012967942,0.0014377483497221572,0.006910228550398439,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-16T04:16:46,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,12.157277699996484,0.00040661475771986734,3.344133750822261e-05,42.5,251.43503610058588,70.0,0.000143579195000004,0.0008494331795460552,0.0002364784838888227,0.0012294908584348828,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-16T04:17:45,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,59.67940390000149,0.001838749197812762,3.0810854815466395e-05,42.5,222.89424059873133,70.0,0.000704527871527772,0.0036949485115120306,0.001160393953055488,0.00555987033609529,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-16T04:17:51,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,5.7613397000022815,0.00020639441776515617,3.582349539250402e-05,42.5,277.4223465678708,70.0,6.802265722220314e-05,0.0004440247996639335,0.00011203232638890784,0.0006240797832750434,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-16T04:18:36,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,45.018483599997126,0.0013983157501844387,3.106102679730385e-05,42.5,225.58447107003977,70.0,0.000531509868611162,0.002821186979170054,0.000875424240833369,0.004228121088614586,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-16T04:18:42,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,5.702525200002128,0.00019643632112696218,3.443245536120512e-05,42.5,262.28604661453,70.0,6.73553304861292e-05,0.0004156803325439662,0.0001109335830555818,0.0005939692460856759,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-16T04:19:26,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,44.25761749999947,0.0013789667595058095,3.115776844097191e-05,42.5,226.6442268817614,70.0,0.0005225174695138624,0.0027864855625200358,0.0008606120463888348,0.004169615078422732,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-16T04:19:32,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,5.679403800000728,0.00020110408670614977,3.539702478234613e-05,42.5,272.88573406065797,70.0,6.70592506944105e-05,0.0004305781222399552,0.00011044590861108896,0.0006080832815454559,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-16T04:20:19,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,47.38613769999938,0.001492477570424533,3.149533357649273e-05,42.5,230.32995088216043,70.0,0.0005594488869444377,0.0030319507588920103,0.0009214408116667173,0.004512840457503168,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-16T04:20:25,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,5.6947932000039145,0.0001916569310126369,3.365489456037861e-05,42.5,253.86563788902427,70.0,6.72270206250789e-05,0.000401568932365981,0.00011072173583337019,0.0005795176888244297,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-16T04:21:14,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,48.86042690000613,0.0015068351799619913,3.083885233426373e-05,42.5,223.21271443653902,70.0,0.000576805453680542,0.0030294207568680176,0.0009500276974999606,0.004556253908048518,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-16T04:21:20,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,5.629560699999274,0.0001994878023695596,3.5452118004309766e-05,42.5,273.46368457869204,70.0,6.642239055553931e-05,0.0004273925641360421,0.0001093811288888696,0.0006031960835804553,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-16T04:22:01,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,41.47226429999864,0.0012861047578742024,3.1007454729531193e-05,42.5,224.95255632714307,70.0,0.000489773205208364,0.00259237207389601,0.0008066807233333547,0.0038888260024377286,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-16T04:22:07,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,5.6550646999967285,0.00018634471763422956,3.295290455844927e-05,42.5,246.2193701509493,70.0,6.67569446527825e-05,0.0003867505871779642,0.00010994748916669413,0.0005634550209974373,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-16T04:22:52,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,45.51813409999886,0.0014017495856014101,3.079547093454058e-05,42.5,222.72050300319947,70.0,0.0005373673012499898,0.00281606558618408,0.0008850711722222203,0.004238504059656291,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-16T04:22:58,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,5.707881300004374,0.00019745943537907013,3.45934055066182e-05,42.5,264.4453440299236,70.0,6.731834013881405e-05,0.0004188722795419042,0.00011087224166662392,0.000597062861347343,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-16T04:24:12,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,74.11825469999894,0.002759108692699167,3.7223889424749934e-05,42.5,292.7079408923703,70.0,0.0008750282358333302,0.006026537321226044,0.001441218000833357,0.008342783557892731,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-16T04:24:18,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,5.798228899999231,0.00020054442860781285,3.458752069103731e-05,42.5,264.25622344647127,70.0,6.84044134722523e-05,0.0004253256180379861,0.00011266099833335576,0.0006063910298435907,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-16T04:25:45,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,87.4021561000045,0.0032844687253351414,3.7578846511937714e-05,42.5,296.58525044534355,70.0,0.0010317688851389298,0.007200178260137968,0.0016993802252778956,0.009931327370554792,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-16T04:25:51,microsoft__phi-4,70032662-626d-4c54-b4de-9586021c222d,5.847354800003814,0.00021358451217604393,3.6521351676647206e-05,42.5,284.8500022848416,70.0,6.907646715277344e-05,0.00046297620371399395,0.00011376797444447376,0.0006458206453112472,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
