task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-16T08:46:57,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,48.64582930000324,0.001452735074206104,2.9862513961881883e-05,42.5,212.56374227395605,70.0,0.0005743137896528727,0.0028724328535001398,0.0009459234691665593,0.004392670112319572,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-16T08:47:03,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,5.717481900006533,0.00019110390369334474,3.34239031527391e-05,42.5,251.33051456827826,70.0,6.75000665971917e-05,0.0003991739304498587,0.00011117148972217467,0.0005778454867692252,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-16T08:47:48,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,45.5094403999974,0.001393581934856324,3.0620474991785374e-05,42.5,220.81428284711916,70.0,0.0005372915272916441,0.002791569733254007,0.0008849460763889108,0.004213807336934561,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-16T08:47:54,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,5.659654500006582,0.0001968005392274175,3.476692062835082e-05,42.5,265.96710087417335,70.0,6.682396715272675e-05,0.0004181889456620347,0.00011005762833333913,0.0005950705411480999,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-16T08:48:38,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,43.64812969999912,0.0013419101491273719,3.074340982518732e-05,42.5,222.15578051889912,70.0,0.0005152955826388482,0.0026935521548399066,0.0008487183736109729,0.004057566111089726,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-16T08:48:44,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,5.674342300000717,0.00019578226877382723,3.450276741026445e-05,42.5,263.19352434939606,70.0,6.69689618054488e-05,0.0004147258873361537,0.000110296723055338,0.0005919915721969392,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-16T08:49:33,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,49.300290999992285,0.001518060129512228,3.079214475290764e-05,42.5,222.68845547528687,70.0,0.0005820111854167305,0.0030495821618858887,0.0009586017116667389,0.004590195058969357,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-16T08:49:39,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,5.731829399999697,0.00019624003348707193,3.4235377124954495e-05,42.5,260.01054748571187,70.0,6.769907284713333e-05,0.0004141769980079424,0.00011149965555555877,0.0005933757264106332,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-16T08:50:09,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,30.711811200002558,0.0009380192038918331,3.054186133678687e-05,42.5,219.9392552358798,70.0,0.00036260276319455666,0.0018764856678540331,0.0005972228791668588,0.002836311310215448,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-16T08:50:15,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,5.548625700001139,0.0001777274217322107,3.2010199201549977e-05,42.5,235.96354974163958,70.0,6.554375618059377e-05,0.0003639055689019788,0.00010794937027785653,0.0005373986953604304,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-16T08:51:13,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,58.59490949999599,0.001805654017864952,3.0815922400636593e-05,42.5,222.96026387755433,70.0,0.0006917111429860599,0.00362880429192991,0.001139284206666748,0.005459799641582715,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-16T08:51:19,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,5.792537400004221,0.00019756281059542594,3.410633137945121e-05,42.5,258.7781821832727,70.0,6.838164527769343e-05,0.00041637005531791615,0.00011262373888886162,0.0005973754394844738,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-16T08:52:11,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,51.87583889999951,0.0016129991224100738,3.10931633009254e-05,42.5,225.97950186920946,70.0,0.000612397181388931,0.0032562184383061465,0.001008648763888737,0.00487726438358382,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-16T08:52:17,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,5.757571399997687,0.00019447583782458873,3.377177691945953e-05,42.5,255.03792574344254,70.0,6.79982067361383e-05,0.0004080511597739367,0.00011199191888893768,0.0005880412853990075,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-16T08:53:06,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,49.06459699998959,0.0015048381720815917,3.0670712708292885e-05,42.5,221.36493995291127,70.0,0.0005792290657638862,0.003016967135794024,0.0009540193055556714,0.004550215507113584,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-16T08:53:12,microsoft__phi-4,76c8fe65-55a0-4930-9906-274c65c6a8dc,5.542625899994164,0.00019848472123238682,3.5809568499839966e-05,42.5,277.04870741370434,70.0,6.54785706249942e-05,0.00042684256369607265,0.00010784190861094257,0.000600163042932006,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
