task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-16T01:57:51,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,58.76607210000657,0.0016291171287357107,2.7720862179338776e-05,42.5,189.2530596794832,70.0,0.0006937963618055518,0.0030894866382539937,0.0011427177883333165,0.004926000788392862,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-16T01:57:57,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,5.862254400002712,0.00018081555094431098,3.084424315262764e-05,42.5,223.30060854184575,70.0,6.919722618063131e-05,0.0003635727908579689,0.00011396632916665927,0.0005467363462052597,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-16T01:59:05,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,68.26986349999788,0.001962769774800919,2.8750225316604297e-05,42.5,200.46213701783793,70.0,0.0008059513873611297,0.0038014783189580376,0.0013274446422222458,0.005934874348541412,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-16T01:59:17,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,12.066342400001304,0.0003826190975221911,3.170979424240484e-05,42.5,232.50009167333576,70.0,0.0001425213310417095,0.0007796770126300007,0.00023473625777783655,0.0011569346014495465,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-16T02:00:16,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,58.65108589999727,0.0017277808423308205,2.9458685307431366e-05,42.5,208.13760516095124,70.0,0.0006924774722916029,0.003391309935267997,0.0011405452333333116,0.005224332640892908,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-16T02:00:22,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,5.79660149999836,0.00019504846764756625,3.364932856901856e-05,42.5,253.92236454372303,70.0,6.84060591666872e-05,0.0004087031047400047,0.00011266359611110822,0.0005897727600177975,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-16T02:01:26,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,64.49805370000104,0.0019407207795141788,3.0091693301489868e-05,42.5,215.07327847027418,70.0,0.000761353405555595,0.0038528711378499753,0.0012539797258334148,0.005868204269238987,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-16T02:01:32,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,5.959172900002159,0.00020112456104930815,3.3748664908983195e-05,42.5,255.04205469077667,70.0,7.032213270838144e-05,0.0004220036709360331,0.0001158193866666905,0.0006081451903111046,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-16T02:02:27,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,54.38072629999806,0.0016130340661105382,2.9661950171288143e-05,42.5,210.39708079644225,70.0,0.0006419642401388754,0.0031780580979999945,0.001057347705555569,0.004877370043694439,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-16T02:02:33,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,5.80791180000233,0.00019856984776382182,3.4190374389614684e-05,42.5,259.47491910445996,70.0,6.860143756944135e-05,0.0004188331128440054,0.00011298589166658032,0.0006004204420800262,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-16T02:03:37,microsoft__phi-4,c391ad87-3a86-48ec-b781-c6f9a33aa0f6,64.82509549999668,0.0019632402741598057,3.0285232992393657e-05,42.5,217.19123866197805,70.0,0.0007652396150000492,0.003910668961865996,0.001260388431944497,0.005936297008810546,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
