task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-16T11:03:26,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,45.64555729999847,0.0013393211316886564,2.934152152877513e-05,42.5,206.8949238257654,70.0,0.0005388751493056588,0.0026233090430900496,0.0008875534441667292,0.004049737636562438,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-16T11:03:31,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,5.843556799998623,0.0001897006167707058,3.248759789912125e-05,42.5,240.96735816004298,70.0,6.89689858334229e-05,0.0003910472572817847,0.00011358609111125075,0.0005736023342264585,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-16T11:04:19,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,47.45053909999842,0.0014299430894379238,3.0134645552220132e-05,42.5,215.5492625941572,70.0,0.0005601587880555193,0.0028409856061201166,0.00092260904361101,0.004323753437786645,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-16T11:04:25,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,5.8582242999982554,0.0001894199353489989,3.2334278334207217e-05,42.5,239.42244056678175,70.0,6.91691254167382e-05,0.000389663367286075,0.00011392113833329264,0.0005727536310361058,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-16T11:05:11,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,46.54613109999627,0.001414336656906177,3.0385795694380113e-05,42.5,218.2622106229591,70.0,0.0005495009036804934,0.0028220083687159336,0.0009050546186109487,0.004276563891007376,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-16T11:05:17,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,5.86703850000049,0.00018484255089818487,3.1505863513835114e-05,42.5,230.63538229257514,70.0,6.922619347220064e-05,0.00037567196720367235,0.00011401472250007708,0.0005589128831759507,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-16T11:06:00,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,42.43717029999243,0.001288781562738023,3.0372140201043713e-05,42.5,218.20001943969118,70.0,0.0005008140818748973,0.002571240390324303,0.0008248654497222661,0.0038969199219214667,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-16T11:06:05,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,5.791457899991656,0.00018975679450525858,3.274345478844108e-05,42.5,244.14169793428172,70.0,6.837526319438151e-05,0.0003927836475597912,0.0001126132894443601,0.0005737722001985315,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-16T11:07:05,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,59.783075300001656,0.0018213911238069893,3.046754933509591e-05,42.5,219.1755118555347,70.0,0.0007057018372221844,0.003639358744818133,0.0011623237266667674,0.005507384308707085,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-16T11:07:11,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,5.997308799996972,0.00019929760815961227,3.3227066269380336e-05,42.5,249.2165168038455,70.0,7.080571187495195e-05,0.0004152000543817813,0.00011661522249988704,0.0006026209887566199,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-16T11:08:16,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,64.54150880000088,0.0019622775929651146,3.0403407860807536e-05,42.5,218.45419063774185,70.0,0.0007619454954862401,0.00391647702206821,0.001254963608888971,0.0059333861264434205,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-16T11:08:28,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,11.942781699995976,0.00039659975548136245,3.3208681699405426e-05,42.5,249.06744643404463,70.0,0.00014095976298620153,0.0008260834386439875,0.0002321650527779837,0.0011992082544081753,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-16T11:09:13,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,45.46576730000379,0.0013838210531503525,3.0436557879380205e-05,42.5,218.815482084766,70.0,0.0005367472097221855,0.0027634980441298973,0.000884047869444354,0.004184293123296441,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-16T11:09:19,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,5.820128899998963,0.00019162139854455966,3.292170538629222e-05,42.5,245.8874008067187,70.0,6.871078180555653e-05,0.0003975333735818376,0.00011316609305556807,0.0005794102484429631,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-16T11:10:04,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,45.0897585000057,0.0013629965645696983,3.022856144753545e-05,42.5,216.5525175388007,70.0,0.0005323055902082463,0.0027122866142722524,0.000876733409999806,0.004121325614480302,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-16T11:10:10,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,5.844096200002241,0.00018189674904164725,3.112423925702744e-05,42.5,226.3166136536695,70.0,6.899123458327557e-05,0.0003673861272420753,0.00011362822916651319,0.0005500055909918658,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-16T11:11:33,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,82.44073309999658,0.0030449364626982545,3.6934935582094845e-05,42.5,289.55237851342514,70.0,0.00097325529479164,0.006630788637959739,0.001603003953055425,0.009207047885806806,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-16T11:11:38,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,5.856271399999969,0.00020117731387537044,3.435338014939398e-05,42.5,261.60560133754336,70.0,6.910644500003442e-05,0.00042538089586019456,0.00011381735944446941,0.0006083047003047001,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-16T11:13:11,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,92.06483010000375,0.003434242255238029,3.7301576497682844e-05,42.5,293.54290928865316,70.0,0.0010869015674305248,0.007507114894575895,0.0017901847463887358,0.010384201208395158,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-16T11:13:21,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,10.459356000006665,0.0003528088785018091,3.37317665891333e-05,42.5,254.69364208755647,70.0,0.0001234744672917263,0.0007399580919658089,0.0002033641633333496,0.0010667967225908778,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-16T11:14:07,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,46.26231409999309,0.0014105343814245497,3.048692122587163e-05,42.5,219.36042721200644,70.0,0.0005462100165277558,0.0028192219775982075,0.0008996348647222069,0.004265066858848171,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-16T11:14:13,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,5.7787633999978425,0.0001944934831652062,3.365677682614626e-05,42.5,253.87486066820796,70.0,6.822031291678528e-05,0.0004075169926799349,0.00011235733444466163,0.0005880946400413783,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-16T11:15:07,microsoft__phi-4,e7fa041b-127b-42f1-bff0-8b66dc74bacb,53.32443300000159,0.0016182378312684133,3.0347107229889653e-05,42.5,217.84128063931684,70.0,0.0006295218787500754,0.0032267275813799845,0.0010368553338890498,0.00489310479401911,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
