task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T17:54:59,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,56.594153699988965,0.0017279454208070537,3.053387246347171e-05,42.5,219.877380568447,70.0,0.0006680825065275914,0.003456391098443312,0.0011003566758334476,0.005224830280804352,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T17:55:05,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,5.630297400028212,0.00020247753609608653,3.5961609217843385e-05,42.5,278.9691889095909,70.0,6.64680662499854e-05,0.00043629673792633383,0.00010947140944400527,0.0006122362136203249,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T17:55:59,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,54.56072799998219,0.0014597236596897282,2.675241102797076e-05,42.5,178.7126182356698,70.0,0.0006441577949998343,0.0027086874447261877,0.001060956427222037,0.0044138016669480595,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T17:56:06,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,6.3376141999906395,0.00019655989325708962,3.1015327642043745e-05,42.5,225.24872043359684,70.0,7.478898895844606e-05,0.00039638087266036237,0.00012317303249971415,0.0005943428941185217,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-17T17:56:57,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,51.39889280000352,0.0014755815980949144,2.8708294754600532e-05,42.5,200.00220361741484,70.0,0.000606794544513812,0.0028555367288722877,0.0009994204247219993,0.004461751698108099,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-17T17:57:03,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,5.6815921000088565,0.00019767130604479016,3.4767457783962946e-05,42.5,266.00108074553674,70.0,6.711345708366317e-05,0.000420054224932187,0.00011053581777790283,0.000597703499793753,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-17T17:58:00,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,57.15660799999023,0.0017885980713217321,3.1293009554224857e-05,42.5,228.14394509333798,70.0,0.0006747507813195221,0.003622126786587909,0.0011113495963888356,0.005408227164296266,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-17T17:58:06,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,5.7682588000025135,0.0002045120798026944,3.543590893445131e-05,42.5,273.30285898188754,70.0,6.81219915277323e-05,0.0004380703504560657,0.00011219577055526352,0.0006183881125390624,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-17T17:59:07,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,61.34411119998549,0.001650400201490391,2.690298980124156e-05,42.5,180.36208357749916,70.0,0.0007241987438887411,0.0030733669031355326,0.0011927892822217673,0.00499035492924604,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-17T17:59:13,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,6.227452299994184,0.00019663854069543706,3.157523008479015e-05,42.5,231.22292307379377,70.0,7.351840423608456e-05,0.0003999811533184072,0.00012108114472187802,0.0005945807022763698,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-17T18:00:15,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,61.939421599992784,0.001896601422268756,3.0620142178366e-05,42.5,220.81030997049533,70.0,0.0007312379043749387,0.0037991752615598173,0.0012043863377776383,0.0057347995037123935,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-17T18:00:21,microsoft__phi-4,49aedf14-a14d-403c-8030-556035a69ec2,5.790485199977411,0.00020963021523254938,3.618364253043983e-05,42.5,281.376742027473,70.0,6.839550854149078e-05,0.00045282258448020585,0.00011264584916635678,0.0006338639421880551,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
