task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T10:52:35,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,62.70358729999862,0.001777158063696868,2.8341937225297752e-05,42.5,195.9616657468874,70.0,0.0007403825632637665,0.003413804675486354,0.0012194484983336427,0.005373635737083763,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T10:52:41,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,5.897290599998087,0.00019978777647550205,3.38781193284947e-05,42.5,256.28845502192246,70.0,6.961858416666981e-05,0.00041982366919235403,0.00011466086916682092,0.0006041031225258444,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T10:53:30,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,48.560898600000655,0.0014671087991466043,3.0211724894119956e-05,42.5,216.40095161246697,70.0,0.0005732295213887079,0.0029187642794537005,0.0009441384905557143,0.0044361322913981215,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T10:53:36,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,5.915834599989466,0.00018867906441781372,3.189345983526493e-05,42.5,234.69024805439517,70.0,6.98376645834086e-05,0.00038565364185583206,0.00011502213527791235,0.0005705134417171541,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-17T10:54:48,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,72.30450830000336,0.0022108201468887217,3.0576538615387446e-05,42.5,220.35663937468152,70.0,0.0008535469968749064,0.004425525484862636,0.0014058377647223502,0.0066849102464598895,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-17T10:54:54,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,5.8980494999850634,0.0002122884793894341,3.59931565191471e-05,42.5,279.3135392468551,70.0,6.962753749980427e-05,0.00045759925496691167,0.00011467500722194207,0.0006419017996886593,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-17T10:56:05,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,70.812256300007,0.00215681144796324,3.0458212925086337e-05,42.5,219.05243255943222,70.0,0.0008359711372220775,0.004308743446992835,0.001376888255555645,0.00652160283977056,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-17T10:56:11,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,5.940455800009659,0.00020886173810998228,3.515861250486541e-05,42.5,270.22413475444563,70.0,7.013048013872723e-05,0.0004459059122789988,0.000115503886944094,0.0006315402793618217,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-17T10:56:58,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,46.96143490000395,0.0014282116575827092,3.0412496807808542e-05,42.5,218.58718870024384,70.0,0.0005543470051390612,0.0028511345031283497,0.0009130365572225449,0.0043185180654899576,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-17T10:57:04,microsoft__phi-4,6651a5cd-c478-450f-8d2b-3b38a13a1e27,5.9583004000014625,0.0001880023158123377,3.155350471330013e-05,42.5,230.99446935063088,70.0,7.033603256942182e-05,0.0003822889169415866,0.0001158421911113287,0.0005684671406223397,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
