task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T15:36:32,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,63.84255150001263,0.0016406456273624424,2.5697660727595884e-05,42.5,167.26214164587762,70.0,0.0007536289113194976,0.002965969872775087,0.0012412610038892633,0.004960859787983848,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T15:36:38,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,6.279632199992193,0.0002045658742633443,3.257191880671941e-05,42.5,242.07505149721842,70.0,7.41416395836495e-05,0.0004223047822868864,0.00012210435027777233,0.0006185507721483087,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T15:37:29,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,50.983909100003075,0.0014972804104970475,2.936755603224088e-05,42.5,207.12575080592336,70.0,0.0006019949144446097,0.0029338520693023007,0.000991515937222155,0.004527362920969066,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T15:37:35,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,6.023302199988393,0.00019468036314825585,3.232348313736469e-05,42.5,239.19695620767396,70.0,7.113602659729714e-05,0.0004003667091820873,0.00011715697777795473,0.0005886597135573383,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-17T15:38:18,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,43.411730899999384,0.001283088224265845,2.955396641953124e-05,42.5,209.17145522715435,70.0,0.0005125962317359357,0.002522836740490142,0.000844271864722153,0.0038797048369482307,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-17T15:38:24,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,5.63840870000422,0.00019489951797609182,3.4566613927330604e-05,42.5,263.94111337837063,70.0,6.653466729165079e-05,0.0004132067194535516,0.00010958099055537272,0.000589322377300576,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-17T15:39:14,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,50.323992999998154,0.0016130134133420784,3.205259457052515e-05,42.5,236.40691918864138,70.0,0.0005941004355555076,0.0033046948659753994,0.0009785122938889904,0.004877307595419898,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-17T15:39:20,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,5.711753499985207,0.00019588466737409382,3.4294201836387834e-05,42.5,260.8369239043407,70.0,6.742739513902057e-05,0.00041383255328852897,0.00011104124888887661,0.000592301197316427,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-17T15:40:22,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,61.883893300022464,0.0020490175048948163,3.3108477281347306e-05,42.5,247.8441426578829,70.0,0.0007307342970836747,0.004261371742428022,0.0012035576525002804,0.006195663692011976,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-17T15:40:28,microsoft__phi-4,df36d743-0577-454d-8882-2a2db9c3d703,5.76287589999265,0.00021192713185650032,3.677414044791795e-05,42.5,287.6634443575769,70.0,6.805864173608503e-05,0.00046065981297216396,0.00011209072972229086,0.0006408091844305394,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
