task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T13:17:04,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,58.41978460000246,0.0017843823764840975,3.0543079468650074e-05,42.5,219.97386641767292,70.0,0.0006897028715972233,0.0035698064669538176,0.0011359707274994839,0.005395480066050525,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T13:17:10,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,6.199527299992042,0.00019869559836285713,3.2041607854662757e-05,42.5,236.25804597157492,70.0,7.321505104169372e-05,0.00040700532560444813,0.00012058030055575532,0.0006008006772018973,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T13:18:03,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,52.80298449998372,0.0016397094513192654,3.1052968823574e-05,42.5,225.52578373806816,70.0,0.0006233738913192508,0.003307929590786074,0.0010267255677778545,0.004958029049883179,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T13:18:09,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,6.3498861999833025,0.0002013504458005565,3.171054586483962e-05,42.5,233.0292968619318,70.0,7.488653472226161e-05,0.0004106075507084306,0.00012333411805553205,0.0006088282034862232,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-17T13:18:56,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,47.180629999988014,0.0014524213636702126,3.078342670011505e-05,42.5,222.5886004871715,70.0,0.0005570118460416983,0.002917283722713382,0.0009174259694442704,0.004391721538199351,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-17T13:19:02,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,5.674551899981452,0.0002017570678900047,3.5521745613829326e-05,42.5,273.90770659849795,70.0,6.709908499981073e-05,0.0004324472904029264,0.00011051134111104239,0.0006100577165137795,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-17T13:19:49,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,46.987426100007724,0.0014157887591914348,3.012999607213763e-05,42.5,215.47730080744066,70.0,0.0005547356546530056,0.0028125414166981777,0.0009136775763892934,0.004280954647740476,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-17T13:20:01,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,11.533596900000703,0.0004146748781832556,3.594133441483292e-05,42.5,278.8451512378509,70.0,0.0001361695289585742,0.0008934182147335434,0.0002242746955559904,0.001253862439248108,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-17T13:21:01,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,59.99017810000805,0.0018927318194338367,3.155076280756124e-05,42.5,230.9444877063197,70.0,0.0007082131409723337,0.003848423634292608,0.0011664621169448462,0.005723098892209788,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-17T13:21:12,microsoft__phi-4,f2ece6bf-8b3e-4009-897a-18b9585b8504,11.51872320001712,0.0004210010853759466,3.654682980863118e-05,42.5,285.3330923154665,70.0,0.00013599253062503624,0.0009130171193016956,0.000223981494722021,0.0012729911446487524,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
