task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-16T13:20:35,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,36.88184360000014,0.0010664303245955474,2.891497420240014e-05,42.5,202.20035618242983,70.0,0.00043547865597224196,0.0020718594352637787,0.0007172530244442493,0.00322459111568027,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-16T13:20:41,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,5.669635099999141,0.0001853218347651741,3.268679741524907e-05,42.5,243.316563874198,70.0,6.69320163194142e-05,0.00038319363988814636,0.00011023644916672822,0.0005603621053742887,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-16T13:21:12,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,31.17353240000375,0.000941926146237541,3.0218684752446627e-05,42.5,216.49281913278446,70.0,0.0003679273603471605,0.0018742045549178243,0.0006059929108332049,0.00284812482609819,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-16T13:21:18,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,5.560310100001516,0.00018364048642212274,3.3052494620111756e-05,42.5,247.33950122678948,70.0,6.558334729167353e-05,0.00038168002756622244,0.00010801479694443213,0.0005552781718023286,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-16T13:21:48,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,30.062323899997864,0.0009146434020277654,3.0421370232900455e-05,42.5,218.6447426136248,70.0,0.0003549487788194407,0.0018260645164058786,0.000584616038611259,0.0027656293338365777,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-16T13:21:53,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,5.649244600004749,0.00017249874831908952,3.052810218366123e-05,42.5,219.80759294508283,70.0,6.67083352776899e-05,0.00034501277600984537,0.00010986751805555986,0.0005215886293430949,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-16T13:22:23,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,29.072282000008272,0.0008819698563701096,3.033718843901712e-05,42.5,217.68786429898296,70.0,0.0003432608160415132,0.001758206406563767,0.0005653663224999442,0.0026668335451052252,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-16T13:22:28,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,5.525590999997803,0.00017841845494819333,3.228824845035525e-05,42.5,239.05880057685897,70.0,6.521929819428918e-05,0.0003668539045937891,0.00010741498638878197,0.0005394881891768594,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-16T13:23:07,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,38.8271553000086,0.001192813565627106,3.0721185447500705e-05,42.5,221.91387436027443,70.0,0.00045837386048604243,0.002393401914720039,0.0007549633972221072,0.003606739172428191,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-16T13:23:12,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,5.4827557999960845,0.00018007580932006498,3.284635628341929e-05,42.5,245.04747920502714,70.0,6.472245194446375e-05,0.00037317974298778367,0.00010659737666671078,0.0005444995715989595,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-16T13:23:40,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,27.191289599999436,0.0008407554859763723,3.091469148760082e-05,42.5,223.9803956949258,70.0,0.0003211009902083688,0.0016922444093501188,0.0005288672588888103,0.0025422126584472952,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-16T13:23:45,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,5.566298999998253,0.0001838050082789448,3.3021529410805194e-05,42.5,246.70863958154249,70.0,6.575736708336983e-05,0.0003817166942621242,0.00010830157916680034,0.0005557756405122939,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-16T13:24:13,microsoft__phi-4,2aa00f82-20ea-4d54-a414-7da0715d850a,27.56740090000676,0.0008482347222029292,3.0766141694029946e-05,42.5,222.52738978086566,70.0,0.0003253624132639843,0.0017035796961959448,0.0005358856961113715,0.0025648278055712993,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
