task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-16T20:15:08,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,44.226544399993145,0.0013202971527133186,2.9852955724351037e-05,42.5,212.43230498680322,70.0,0.0005221678432638328,0.002610010699117593,0.0008600358297220535,0.003992214372103479,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-16T20:15:13,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,5.75069899999653,0.00019042553116638988,3.3113143843657295e-05,42.5,248.22956736897035,70.0,6.783866173620682e-05,0.00039622642809211683,0.00011172918555550702,0.0005757942753838313,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-16T20:15:46,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,32.571320200004266,0.0009857380432242739,3.0264064549141474e-05,42.5,216.92006180581967,70.0,0.0003845413800694082,0.0019627018479382308,0.0006333566886109717,0.0029805999166186113,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-16T20:15:52,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,5.747189100002288,0.00017572222926030443,3.05759777237986e-05,42.5,220.36682763816734,70.0,6.784075368043176e-05,0.0003517622258537578,0.00011173256694439466,0.0005313355464785837,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-16T20:16:27,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,35.51300330000231,0.0010760081123399943,3.02990992551213e-05,42.5,217.2866922806305,70.0,0.00041928951819448536,0.002143672826048215,0.0006905893594444125,0.0032535517036871124,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-16T20:16:33,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,5.6499053000006825,0.0001825736795975784,3.2301906424754415e-05,42.5,239.37715298409876,70.0,6.667802569445495e-05,0.0003755619671157451,0.00010981244944446682,0.000552052442254666,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-16T20:17:03,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,29.756916500002262,0.0009035044591089135,3.036145740206216e-05,42.5,218.01564854519685,70.0,0.00035129339159709863,0.0018020592194238905,0.0005785956322222367,0.0027319482432432273,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-16T20:17:08,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,5.646907000002102,0.00017408096007180685,3.082687119903375e-05,42.5,223.32240650932516,70.0,6.661545979165257e-05,0.00035004166892216304,0.00010971567249992709,0.0005263728012137436,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-16T20:17:36,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,27.406073199992534,0.0008309366914417493,3.032079780826562e-05,42.5,217.51642092364477,70.0,0.0003235670314583128,0.001656029380377566,0.0005329269205553121,0.0025125233323911884,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-16T20:17:42,microsoft__phi-4,2ba1f991-b2a9-4435-b6bd-79b9f68af606,5.688731900008861,0.00018834395390821337,3.3106318921822e-05,42.5,247.89013877162108,70.0,6.716033576384568e-05,0.0003917278133827029,0.00011061201083329168,0.0005695001599798424,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
