task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-16T16:49:00,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,34.10394830000587,0.0010140223372455855,2.973206098648251e-05,42.5,211.14442876289633,70.0,0.0004026344092360887,0.002000331878041939,0.0006631575319443478,0.0030661238192223753,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-16T16:49:06,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.598599599994486,0.00018582295609335248,3.317949201719728e-05,42.5,248.66741893949356,70.0,6.611867020840992e-05,0.0003868616983782047,0.0001088969894445553,0.0005618773580311699,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-16T16:49:37,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,31.77516079999623,0.0009817993725145398,3.08973320279752e-05,42.5,223.8323278393174,70.0,0.00037513335458330005,0.0019756949138880486,0.0006178621944443066,0.0029686904629156554,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-16T16:49:43,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.539868699997896,0.00018817902437528403,3.396862912337714e-05,42.5,257.2222371506124,70.0,6.540776798623891e-05,0.0003958678166944285,0.00010772587388912353,0.000569001458569791,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-16T16:50:20,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,36.608343600004446,0.0011321773979405215,3.092695110024291e-05,42.5,224.15940739408117,70.0,0.00043217058937498236,0.002279415712419741,0.0007118058266667507,0.003423392128461473,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-16T16:50:25,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.512386300004437,0.0001862581052750412,3.378913548603672e-05,42.5,255.62444563993176,70.0,6.502113958333422e-05,0.00039108336842175184,0.00010708862111108225,0.0005631931291161692,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-16T16:51:04,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,39.22955930000171,0.001243039155634887,3.168420779583014e-05,42.5,232.39487905710595,70.0,0.0004631583794445153,0.0025326048038603055,0.0007628443180555124,0.003758607501360334,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-16T16:51:10,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.624572000000626,0.00018834850201245035,3.3507263299657294e-05,42.5,252.66130398105602,70.0,6.628440250004935e-05,0.000394060037470112,0.00010916947222225056,0.0005695139121924108,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-16T16:51:39,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,29.01697549999517,0.000896471482967647,3.089437295452036e-05,42.5,223.85227263041173,70.0,0.00034251050805552134,0.0018040444987894588,0.0005641274566666756,0.002710682463511655,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-16T16:51:45,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.465872100001434,0.00018771556739327969,3.434372362106932e-05,42.5,261.15058386519235,70.0,6.456070875001394e-05,0.0003967086507001838,0.00010633073305543793,0.0005676000925056365,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-16T16:52:15,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,30.322618899997906,0.0009412869002907494,3.1041683132925475e-05,42.5,225.40388719213976,70.0,0.0003579813852084752,0.001898599018878011,0.0005896115186112484,0.0028461919226977356,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-16T16:52:20,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.584733900002902,0.00017726924842599578,3.174192998270433e-05,42.5,232.73113347141685,70.0,6.598682104173945e-05,0.00036134667796594577,0.00010867980666662367,0.0005360133056743072,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-16T16:53:08,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,47.980824199999915,0.0016378672813044757,3.4135651902925174e-05,42.5,259.10923195052595,70.0,0.0005663999095139542,0.003453174429203898,0.0009328844972223633,0.004952458835940213,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-16T16:53:15,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,6.108453399996506,0.00019503519898273793,3.192995703755428e-05,42.5,234.93864982103756,70.0,7.213917770844402e-05,0.0003987844856938594,0.00011880897583335659,0.00058973263923566,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-16T16:53:50,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,35.14424959999451,0.0011323826533264515,3.221592654760767e-05,42.5,238.14732285824408,70.0,0.00041500576375001416,0.0023254724159322837,0.0006835345844443917,0.0034240127641266896,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-16T16:53:55,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.548065499999211,0.00018973933501145734,3.4198289894113096e-05,42.5,259.7904132483351,70.0,6.549521055564285e-05,0.00040035476472777276,0.00010786943222224673,0.0005737194075056615,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-16T16:54:51,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,55.455826300007175,0.002078391421422852,3.7482377203176074e-05,42.5,295.52047715301586,70.0,0.0006546010177778854,0.004551729752492184,0.0010781515422222986,0.006284482312492373,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-16T16:54:57,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.644919300000765,0.00019853702535476206,3.517100146888167e-05,42.5,270.40003767391335,70.0,6.663308784726589e-05,0.00042394450582206034,0.00010974360250010171,0.0006003211961694288,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-16T16:56:08,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,71.77861300000222,0.002720813753334451,3.7905124234139934e-05,42.5,300.08405454493305,70.0,0.0008474568755555082,0.005983727286977825,0.0013958060627778145,0.008226990225311148,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-16T16:56:14,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.785382100002607,0.00021551633349828347,3.727690765401646e-05,42.5,293.3142044471234,70.0,6.824758020820831e-05,0.0004710167657020481,0.00011239759416643673,0.0006516619400766949,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-16T16:56:40,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,26.181193500000518,0.0008388376695496087,3.203530253821512e-05,42.5,236.2162797981266,70.0,0.00030912736249994084,0.001718140541177915,0.0005091458069445155,0.0025364137106223678,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-16T16:56:46,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.526131400009035,0.00018653199559572758,3.375836217172259e-05,42.5,255.01000742690317,70.0,6.522579951393284e-05,0.00039137392420984796,0.00010742157416663949,0.0005640212978904255,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-16T16:57:39,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,52.7249157000042,0.0016547996178788438,3.1385580356806956e-05,42.5,229.14518585705346,70.0,0.0006224456901390112,0.003356011851474161,0.0010252000091667771,0.005003657550779951,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_proxy.sol,2026-04-16T16:57:44,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.659727699996438,0.0002041369604353152,3.606718321124445e-05,42.5,280.2060336107199,70.0,6.68017302083478e-05,0.00044043063012222383,0.00011002149472211925,0.0006172538550526935,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_rubixi.sol,2026-04-16T16:58:26,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,41.20023509999737,0.0014322165188323938,3.47624666649394e-05,42.5,265.8883696532403,70.0,0.00048640978944430435,0.003043077434459862,0.000801140437222219,0.004330627661126379,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_rubixi.sol,2026-04-16T16:58:31,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.526469000003999,0.0001966952100818549,3.559201375414371e-05,42.5,274.93567438504994,70.0,6.524210888891446e-05,0.00042205728209010474,0.00010745266388904537,0.0005947520548680585,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_simple_suicide.sol,2026-04-16T16:59:03,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,31.560086999990745,0.0009802721995279748,3.106058274467408e-05,42.5,225.66435679357454,70.0,0.0003725209881945274,0.001977997137951659,0.000613554586944641,0.0029640727130908276,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_simple_suicide.sol,2026-04-16T16:59:08,microsoft__phi-4,60d782eb-7d9f-4a63-90b3-f5f18e34135d,5.605468199995812,0.00019112153085896338,3.411802694474371e-05,42.5,258.90766328406045,70.0,6.612930111105e-05,0.00040286087784435765,0.00010890860750001168,0.0005778987864554219,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
