task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-16T15:03:22,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,36.57477929999004,0.0010841169154283824,2.964101172991622e-05,42.5,210.15659730451665,70.0,0.0004317846634028279,0.002135117263648123,0.0007111685602777774,0.0032780704873287283,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-16T15:03:28,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,5.807876600010786,0.00017937858468561611,3.0885844924473336e-05,42.5,223.7127068790225,70.0,6.85630187501071e-05,0.00036090528872412264,0.00011292304916682449,0.0005423913566410541,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-16T15:04:11,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,43.08169980000821,0.0012908549910116663,2.9963036037246498e-05,42.5,213.6605754808525,70.0,0.0005086013462500887,0.0025568970455163154,0.0008376910052778032,0.0039031893970442075,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-16T15:04:17,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,5.847395199991297,0.00019318818917619636,3.3038851015083426e-05,42.5,246.8712284927757,70.0,6.908299090288583e-05,0.0004012858765836125,0.00011377892361104196,0.00058414779109754,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-16T15:04:46,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,29.664667599994573,0.0008993848461107852,3.0318532772637588e-05,42.5,217.53856376856524,70.0,0.0003501971359722827,0.0017925044895581443,0.0005767900444445533,0.0027194916699749792,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-16T15:04:52,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,5.666784400003962,0.00017317526943791666,3.0560277848475e-05,42.5,220.139367452168,70.0,6.690312340280999e-05,0.0003465424994559818,0.00011018861972224856,0.0005236342425810406,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-16T15:05:24,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,32.04585729999235,0.0009773288828182464,3.0497927750546054e-05,42.5,219.48900325096437,70.0,0.00037831090368056026,0.001953768229680186,0.0006230938019443984,0.002955172935305145,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-16T15:05:30,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,5.626537899996038,0.00020121255062471172,3.5760654477351894e-05,42.5,276.66526409259683,70.0,6.644379993061503e-05,0.0004325353460279402,0.00010943210055573,0.0006084112465142844,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-16T15:06:29,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,59.04997970000841,0.001936796711920338,3.279933202374448e-05,42.5,244.53523466629076,70.0,0.0006971148255555616,0.0040110407088300715,0.0011481834369444386,0.005856338971330071,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-16T15:06:35,microsoft__phi-4,6d4825c8-4dc8-480e-98e4-f46a60f6cd88,5.613057900001877,0.00020703749564667407,3.689452471017111e-05,42.5,289.1362575265768,70.0,6.624460951380664e-05,0.0004506781383197822,0.00010910152555544412,0.000626024273389033,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
