task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-16T18:30:58,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,31.454124200012302,0.0009361316426382422,2.9761784966069496e-05,42.5,211.46344757832176,70.0,0.0003713408092360725,0.001847649255896311,0.0006116137805556112,0.0028306038456879946,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-16T18:31:03,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,5.8242159000074025,0.00017543839700013685,3.0122836500357155e-05,42.5,215.2825714603913,70.0,6.878169423612742e-05,0.00034841305650790133,0.00011328256527788952,0.0005304773160219184,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-16T18:31:34,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,30.34704550000606,0.0009088106410331982,2.994712019444051e-05,42.5,213.52158106519613,70.0,0.00035822729020836865,0.0017997486620195957,0.0005900167213888281,0.002747992673616792,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-16T18:31:39,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,5.678078899989487,0.00017387600508587345,3.0622437728843765e-05,42.5,220.7049506739483,70.0,6.705989527775575e-05,0.00034824694526425226,0.00011044623333323722,0.0005257530738752457,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-16T18:32:09,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,29.476971199997934,0.0008898606654864742,3.018936753927733e-05,42.5,216.12758225880125,70.0,0.00034797643305554526,0.0017695858601114445,0.0005731308819443561,0.0026906931751113456,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-16T18:32:15,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,5.688135399992461,0.00018082013062556976,3.1787375035786496e-05,42.5,233.24251731181556,70.0,6.720909743056225e-05,0.0003688486284119108,0.0001106924680555595,0.0005467501938980334,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-16T18:32:55,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,40.111042300006375,0.0012188442989442072,3.0386722027197213e-05,42.5,218.27345537520222,70.0,0.0004735317688195715,0.0024319877789220623,0.0007799293813889464,0.0036854489291305807,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-16T18:33:01,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,5.708995699998923,0.0001895611951654632,3.318600268982815e-05,42.5,248.65857195760577,70.0,6.745053520823292e-05,0.0003946400379337689,0.00011109018861110015,0.0005731807617531028,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-16T18:33:37,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,36.070688699997845,0.0010915809623695165,3.0262369991206983e-05,42.5,216.89070350791644,70.0,0.000425869248958366,0.0021733445164520138,0.0007014259408333603,0.00330063970624374,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-16T18:33:42,microsoft__phi-4,dbc0c365-c31a-475c-883f-72cecbd77433,5.675998599996092,0.00017929004167401615,3.158759817764577e-05,42.5,231.48280984961713,70.0,6.698140958335186e-05,0.00036482556963823853,0.00011031664777789649,0.0005421236269994856,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
