task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T22:06:30,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,57.9103635000065,0.0015649962407770595,2.7024194862561214e-05,42.5,181.67297413324567,70.0,0.0006836627031250627,0.002922426504605724,0.0011260277038889603,0.0047321169116197465,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T22:06:36,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.814554100012174,0.00019235653736352355,3.308273928832224e-05,42.5,247.79193633941642,70.0,6.860980180576411e-05,0.0004000239311299225,0.00011299937250013395,0.0005816331054358205,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T22:07:04,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,28.43408669999917,0.0008521040470830577,2.996782559246471e-05,42.5,213.70772930231425,70.0,0.00033568356069467366,0.0016879582948092775,0.0005528857211113468,0.0025765275766152966,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T22:07:10,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.695944700011751,0.00018865488153218873,3.312135887913598e-05,42.5,248.12951747084216,70.0,6.722641618067031e-05,0.0003924919806612692,0.00011072192250018522,0.0005704403193421241,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-17T22:07:58,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,48.12528559999191,0.0014550725880210853,3.0235171772408452e-05,42.5,216.6129323522098,70.0,0.0005681606431945005,0.00289578842774052,0.000935789038333557,0.004399738109268577,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-17T22:08:04,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.905478100001346,0.00019164409470693276,3.245245331297188e-05,42.5,241.0499559488495,70.0,6.965920236117308e-05,0.0003950917049602154,0.00011472796805561897,0.0005794788753770066,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-17T22:08:51,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,46.62566990000778,0.001407207148204661,3.018106030992784e-05,42.5,216.0539446231867,70.0,0.0005504055150000364,0.002798055293998125,0.0009065454144449583,0.004255006223443119,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-17T22:08:57,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.889730399998371,0.0001947661597405696,3.3067503934956786e-05,42.5,247.53839816245667,70.0,6.951821569432977e-05,0.00040490532392389866,0.00011449559916638626,0.0005889191387846125,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-17T22:09:45,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,48.1665221999865,0.0014551028163038273,3.020992502851501e-05,42.5,216.38427801224668,70.0,0.0005685673823611877,0.00289480259361774,0.0009364595352778756,0.004399829511256802,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-17T22:09:51,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.881068300019251,0.00018758576385794444,3.189687818060649e-05,42.5,234.50776984349724,70.0,6.946956381960077e-05,0.0003833222511024914,0.00011441578750034584,0.0005672076024224385,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-17T22:10:41,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,50.334230000007665,0.0015301379100136035,3.0399608801714765e-05,42.5,218.44200480634552,70.0,0.0005941691167360963,0.0030539191097993523,0.0009786267088887045,0.004626714935424152,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-17T22:10:53,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,11.988976100023137,0.0003832070146501873,3.196362328079397e-05,42.5,235.44477002807068,70.0,0.00014153231118070814,0.000784072849480566,0.0002331071400002759,0.0011587123006615505,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-17T22:11:42,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,48.81451610001386,0.0014749042897417193,3.021452493562882e-05,42.5,216.39838794936657,70.0,0.0005762799848611595,0.0029342617918519664,0.0009491619277774586,0.00445970370449059,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-17T22:11:48,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.880995699990308,0.00019352415833487867,3.290730103224204e-05,42.5,245.50752681803894,70.0,6.946667145845548e-05,0.0004012855988051456,0.00011441139888920555,0.0005851636691528092,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-17T22:12:41,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,53.5446202000021,0.0016186058716347318,3.0229140585866314e-05,42.5,216.5576681715667,70.0,0.0006321213995141278,0.0032209600767671986,0.0010411361702777674,0.004894217646559097,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-17T22:12:47,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.815236900001764,0.00018132237266732867,3.117988736270525e-05,42.5,226.9916415757644,70.0,6.863665590268932e-05,0.00036658807104750224,0.00011304410833343215,0.0005482688352836246,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-17T22:14:04,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,76.44637809999404,0.002826136171495129,3.696892322017951e-05,42.5,289.92223313081513,70.0,0.0009024898233334572,0.00615651742521095,0.001486448915000155,0.00854545616354456,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-17T22:14:10,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.883869000012055,0.00019975367601410624,3.394967230274654e-05,42.5,257.03107882410427,70.0,6.94667871527499e-05,0.00042012172498484546,0.00011441149999995466,0.0006040000121375483,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-17T22:15:31,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,81.74055909999879,0.0030513178888392813,3.732934040032147e-05,42.5,293.8639819394112,70.0,0.0009649469379165061,0.0066720772821025065,0.0015893193380554695,0.009226343558074487,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-17T22:15:37,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.952584999991814,0.00020963367850181103,3.521482700142149e-05,42.5,270.77407434237625,70.0,7.028862618032369e-05,0.0004478209138119027,0.00011576487416669994,0.0006338744141589289,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-17T22:16:13,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,35.38349290000042,0.0010752608554739397,3.0388861139870608e-05,42.5,218.3216211233569,70.0,0.0004176875196526047,0.0021456536609658627,0.0006879510244442721,0.0032512922050627405,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-17T22:16:18,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,5.689091700012796,0.0001894652365422543,3.3303759888574315e-05,42.5,250.00925208509528,70.0,6.716518548588891e-05,0.00039510503830619825,0.00011062038555561919,0.0005728906093477107,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-17T22:17:10,microsoft__phi-4,2c762196-c17b-4e63-a440-e164003bd5cf,52.043765100010205,0.0015547501566348099,2.9873939608747064e-05,42.5,212.6861471520315,70.0,0.0006144124109722831,0.0030747546820233396,0.0010119684866668338,0.004701135579662459,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
