task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-18T03:46:59,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,49.29797730001155,0.0014576710706916392,2.9568527285906014e-05,42.5,209.3300216876926,70.0,0.0005820556144445517,0.0028668661823791908,0.0009586734072221186,0.004407595204045861,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-18T03:47:05,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,5.856068799999775,0.00019110904576721583,3.2635511611181305e-05,42.5,242.88941271687435,70.0,6.91051156946641e-05,0.00039494059373179624,0.00011381532555565683,0.0005778610349821169,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-18T03:47:43,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,38.13893950000056,0.0011473466979420289,3.008342255124507e-05,42.5,214.9630477913624,70.0,0.0004502605195832682,0.0022773984885846588,0.0007416008988889292,0.0034692599070568547,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-18T03:47:49,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,5.726138900005026,0.00018054841371678999,3.153145211246765e-05,42.5,230.8790587035315,70.0,6.757006881954217e-05,0.0003670719603245942,0.0001112865677776831,0.0005459285969218186,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-18T03:48:20,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,31.496859000006225,0.0009501567258832664,3.0166803666431193e-05,42.5,215.86237643864575,70.0,0.00037185496361109675,0.0018886953998444866,0.0006124614650002819,0.0028730118284558646,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-18T03:48:26,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,5.687689400016097,0.00017526094058567619,3.081465315672553e-05,42.5,222.6350185576918,70.0,6.720461013891396e-05,0.00035205055941656127,0.00011068556722230918,0.0005299407367777859,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-18T03:49:08,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,42.12067219999153,0.0012761078330376825,3.0296567962843273e-05,42.5,217.26753216381925,70.0,0.0004972914209721542,0.0025422434226820556,0.0008190632158335777,0.0038585980594877892,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-18T03:49:20,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,11.897433200007072,0.00037895408568206293,3.185143317696961e-05,42.5,234.21606527405004,70.0,0.00014045762076368403,0.0007740583970239356,0.000231336598889013,0.0011458526166766327,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-18T03:50:11,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,50.645489999995334,0.0015353530770162594,3.031579952595949e-05,42.5,217.49136215045723,70.0,0.0005979117706252711,0.0030597816144899426,0.0009847907766669067,0.004642484161782121,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-18T03:50:17,microsoft__phi-4,733ed700-3fed-4d81-b861-5a4cc77e6251,5.905990500003099,0.0001944855284513611,3.2924616478238993e-05,42.5,245.61208717729534,70.0,6.979148479159536e-05,0.0004033336560009815,0.00011494544638852768,0.0005880705871811054,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
