task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T23:58:37,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,35.31613870000001,0.001034417367210374,2.9289749770007043e-05,42.5,206.34232779814155,70.0,0.0004169187926389391,0.0020241902304602988,0.000686683740555519,0.003127792763654757,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T23:58:43,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,5.852396600006614,0.00017606590237520124,3.0094102086193157e-05,42.5,215.12229357460924,70.0,6.90615520139545e-05,0.0003495719463249003,0.00011374122083337469,0.0005323747191722295,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T23:59:19,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,35.76172099998803,0.00106502582283521,2.9784199545175598e-05,42.5,211.6801802056787,70.0,0.0004221874172913886,0.0021027944600122694,0.0006953624124997684,0.003220344289803427,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T23:59:24,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,5.867901999998139,0.00018811417724534304,3.2050124533061075e-05,42.5,236.55983711870684,70.0,6.925587145821435e-05,0.0003854891972796537,0.00011406030999973555,0.0005688053787376041,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-18T00:00:01,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,36.869204799993895,0.0011107562531289068,3.0126658870513947e-05,42.5,215.44482252205776,70.0,0.00043526087062501677,0.0022064656540603522,0.0007168939711113731,0.003358620495796742,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-18T00:00:08,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,6.668284899991704,0.00019231588254608502,2.8838906627260334e-05,42.5,201.42748328515492,70.0,7.87264557637374e-05,0.0003731227984973273,0.000129660922221875,0.0005815101764829397,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-18T00:00:43,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,34.55885390000185,0.001020753815435304,2.9536815402312328e-05,42.5,209.00157394839206,70.0,0.00040800902770832996,0.002006461049611552,0.0006720078749999328,0.003086477952319814,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-18T00:00:48,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,5.844800299993949,0.00018228849288404615,3.1170473150143416e-05,42.5,226.69911093200875,70.0,6.906204076389654e-05,0.00036838473915157266,0.00011374333638919376,0.0005511901163046638,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-18T00:01:20,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,31.59427530001267,0.0008427771368561942,2.6671545005696612e-05,42.5,177.83240745295765,70.0,0.0003730345393057077,0.0015608868042642499,0.0006144042294444971,0.002548325573014456,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-18T00:01:26,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,5.819664199982071,0.00017304599008454054,2.9734157939248502e-05,42.5,211.1749064487265,70.0,6.870462048609626e-05,0.00034138193977106823,0.0001131567772223209,0.000523243337479485,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-18T00:02:06,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,40.23846950000734,0.0011594211546774548,2.881128491440658e-05,42.5,201.12157837225618,70.0,0.00047508054673594917,0.002248212909679914,0.0007824762769444429,0.003505769733360309,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-18T00:02:12,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,6.029571300023235,0.0001783993601365448,2.958617305412491e-05,42.5,209.4731190169598,70.0,7.120455902778419e-05,0.0003509525029841143,0.00011727338972203957,0.0005394304517339389,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-18T00:02:59,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,47.05738119999296,0.0014226208220271125,3.0231711692445637e-05,42.5,216.58963957752968,70.0,0.0005555285039581981,0.0028311008759906997,0.0009149835411110772,0.004301612921059975,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-18T00:03:05,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,5.815952199976891,0.00019277820648220048,3.314702641224684e-05,42.5,248.9375952142366,70.0,6.85422634027215e-05,0.0004014775434040274,0.00011288830972213532,0.0005829081165288838,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-18T00:03:58,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,52.40789929998573,0.001589235826316912,3.0324389047116144e-05,42.5,217.58990059106208,70.0,0.0006187106307640033,0.0031676530896751487,0.0010190470111113327,0.004805410731550483,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-18T00:04:04,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,5.932219599984819,0.00018598748538384974,3.1351657595949135e-05,42.5,228.578535059273,70.0,7.0075032986016e-05,0.0003768869681772813,0.00011541284805522724,0.0005623748492185193,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-18T00:05:16,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,72.64356560001033,0.0026839696842695677,3.694723436716202e-05,42.5,289.71166435507814,70.0,0.0008575396038888764,0.005845631620945646,0.0014124126994440713,0.008115583924278594,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-18T00:05:22,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,5.897957400011364,0.00019897807320486995,3.3737330652543166e-05,42.5,254.9537178247641,70.0,6.958826868061225e-05,0.00041745505618617784,0.00011461147833373084,0.0006016548032005201,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-18T00:06:37,microsoft__phi-4,96a86b5d-8e03-4055-9e72-204beabb7c93,74.93922460000613,0.0027980677734650884,3.733787776696386e-05,42.5,293.9311225355887,70.0,0.0008847131842363125,0.006118702672735843,0.00145716921388909,0.00846058507086124,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
