task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-18T01:53:09,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,44.196251000015764,0.0013093317208003029,2.9625320964973277e-05,42.5,210.01774775722356,70.0,0.0005217079259721383,0.0025780712291219032,0.0008592787758329198,0.003959057930926962,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-18T01:53:14,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,5.753976899984991,0.00018405726410062663,3.196996316010228e-05,42.5,235.61672890956598,70.0,6.794568618042826e-05,0.0003766878013493624,0.00011190490499987692,0.0005565383925296673,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-18T01:53:54,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,39.91001789999427,0.0012000760849815786,3.007006110510578e-05,42.5,214.82320305831257,70.0,0.00047115454784737586,0.0023815296830003163,0.0007760147966669239,0.0036286990275146156,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-18T01:54:00,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,5.716978800017387,0.00018946228443431122,3.313173067551857e-05,42.5,247.98334133813017,70.0,6.754163159724451e-05,0.0003941000375018433,0.00011124001388856811,0.0005728816829876551,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-18T01:54:31,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,30.769685999985086,0.0009276009364292911,3.014666426502644e-05,42.5,215.67395167371157,70.0,0.0003632359470834368,0.0018433081413125052,0.0005982652550002158,0.002804809343396159,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-18T01:54:37,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,5.690690300019924,0.00017720273249176603,3.113959266836945e-05,42.5,226.41408601941458,70.0,6.719159097240976e-05,0.0003579569530325344,0.00011066363583336685,0.000535812179838311,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-18T01:55:01,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,24.646003299974836,0.0007454315947219518,3.024565452887684e-05,42.5,216.7338690508082,70.0,0.0002909612250692993,0.0014837931314781727,0.0004792251508332914,0.002253979507380764,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-18T01:55:07,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,5.837720699986676,0.00017920855667578114,3.069765600248693e-05,42.5,221.73811681683114,70.0,6.890280152777755e-05,0.0003594922320377947,0.0001134822052777356,0.0005418772388433076,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-18T01:56:01,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,53.44544640000095,0.0016107519582561044,3.0138361964391794e-05,42.5,215.55638505539017,70.0,0.0006309741155555053,0.003200248949085882,0.0010392465144444334,0.00487046957908582,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-18T01:56:07,microsoft__phi-4,e77c6c5b-201c-4ac4-8585-9454076d4582,6.05948029999854,0.00020609537737965866,3.401273645970413e-05,42.5,257.47002572650626,70.0,7.158738013889271e-05,0.00043368618028161166,0.00011790200722219465,0.0006231755676427003,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
